"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","levels","government","infrastr","writing","texts","money","FreqLR","ConformityLR","FreqWR","ConformityWR","FreqFR","ConformityFR","FreqER","ConformityER","FreqDR","ConformityDR","MHG","BSP","WrittenRecords","ReligiousHier","GeneralMoralisticPunishment","MoralisingHighGods","MoralisingGods","DoctrinalMode","Writing"
"Big Island Hawaii","Hawaii1",1000,76.5,NA,NA,NA,NA,0.0909090909090909,0.1,0.1,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii2",1200,86.3,4350.31084375799,1803.079130657,NA,NA,0.0909090909090909,0.0909090909090909,0.15,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii2",1300,86.3,7907.18000805107,1803.079130657,NA,NA,0.0909090909090909,0.0909090909090909,0.15,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii2",1400,86.3,18546.5714527178,1803.079130657,NA,NA,0.0909090909090909,0.181818181818182,0.15,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii2",1500,86.3,22377.6944398057,1803.079130657,NA,NA,0.172727272727273,0.181818181818182,0.15,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii2",1600,80.4,NA,1803.079130657,NA,NA,0.09,0.1,0.15,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"Big Island Hawaii","Hawaii3",1700,94.1,120889.957280631,9979.6492797294,NA,2.66164839778629,0.227272727272727,0.336363636363636,0.166666666666667,0,1.8,2,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0
"Big Island Hawaii","USKameh",1800,92.2,98298.6647956028,15560.6236474621,NA,2.87019348434257,0.35,0.172727272727273,0.166666666666667,0,1.8,2,NA,6,NA,NA,NA,2,NA,NA,NA,2,0.9,0,2,1,0,1,1,0
"Cahokia","USMisEW",-600,88.2,41.3815550774394,NA,46.5883372929025,1,0,0.0833333333333333,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0
"Cahokia","USMisMW",-100,88.2,45.1143747462592,NA,46.7114284477708,1.23467705115733,0,0.0833333333333333,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0
"Cahokia","USMisRo",300,88.2,33.4755573259853,NA,42.3368191163581,1,0,0.0833333333333333,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0
"Cahokia","USMisMu",500,88.2,39.5144709236332,NA,42.3653524404423,1,0,0.0916666666666667,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0
"Cahokia","USMisPa",600,88.2,38.2278399247007,NA,48.3410491618126,1.25,0,0.0916666666666667,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0
"Cahokia","USMisSp",800,90.2,454.09010680849,153.553315184031,432.041789095865,1.75,0,0.1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0
"Cahokia","USMisME",900,82.4,424.6358176407,171.428220905241,462.885574613978,1.75,0.2,0.316666666666667,0,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0
"Cahokia","USMisME",1000,82.4,424.6358176407,171.428220905241,462.885574613978,2.5,0.2,0.316666666666667,0,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0
"Cahokia","USCahoE",1100,78.4,42581.5393227639,2374.24610174589,13114.4954315435,2.92250421705195,0.333333333333333,0.325,0,0,1.8,2,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0
"Cahokia","USCahoL",1200,78.4,42337.353367225,2141.66525867601,11270.0843238041,2.91838473367289,0.333333333333333,0.325,0,0,1.8,2,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0
"Cahokia","USMisSd",1300,76.5,13503.749020802,753.581467133247,6029.72783269168,2.75,0.333333333333333,0.263636363636364,0,0,1.8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0
"Cahokia","USOneot",1400,70.6,NA,NA,200,1.36466461668134,0.0833333333333333,0.3125,0.1,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,0
"Cahokia","USOneot",1600,70.6,NA,NA,2221.81999110964,1.36466461668134,0.0833333333333333,0.3125,0.1,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,0
"Cahokia","USIllin",1700,68.6,11791.0619215982,18106.9372590292,NA,1.5,0.04,0.233333333333333,0.4,0.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,0
"Cambodian Basin","KhFunaE",300,84.3,NA,257034,2000,2.5,0.618181818181818,0.977777777777778,1,1,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,2,1,0,1,1,1
"Cambodian Basin","KhFunaL",600,84.3,165738.469709217,264200,2000,2.53491207967492,0.61,0.888888888888889,1,1,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,2,1,0,1,1,1
"Cambodian Basin","KhChenl",700,80.4,NA,531000,60000,4.5,0.79,0.888888888888889,1,0.985714285714286,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,6,1,0,1,1,1
"Cambodian Basin","KhChenl",800,80.4,NA,531000,3e+05,4.5,0.79,0.888888888888889,1,0.985714285714286,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,6,1,0,1,1,1
"Cambodian Basin","KhAngkE",900,96.1,NA,916847,4e+05,4.8,0.836363636363636,0.916666666666667,1,0.9875,4,2,NA,6,NA,6,NA,2,NA,NA,NA,1,1,1,6,1,0,1,1,1
"Cambodian Basin","KhAngkE",1000,94.1,NA,916847,NA,4.8,0.836363636363636,0.916666666666667,1,0.9875,4,2,NA,6,NA,6,NA,2,NA,NA,NA,1,1,1,6,1,0,1,1,1
"Cambodian Basin","KhAngkC",1100,98,1500000,939245,899451.988090464,5,0.827272727272727,0.916666666666667,1,0.9875,4,2,NA,6,NA,6,NA,2,NA,NA,NA,1,1,1,6,1,0,1,1,1
"Cambodian Basin","KhAngkL",1300,96.1,1500000,NA,929479.796626335,5,0.827272727272727,0.875,1,0.975,3.6,2,NA,6,NA,6,NA,2,NA,NA,NA,1,0.666666666666667,1,6,1,0,1,1,1
"Cambodian Basin","KhCambd",1500,96.1,772464.007749551,279646,NA,6.5,0.827272727272727,0.916666666666667,1,0.9875,4,NA,NA,6,NA,6,NA,NA,NA,NA,NA,1,0.666666666666667,1,6,1,0,1,1,1
"Cambodian Basin","ThAyuth",1600,80.4,NA,NA,155000,4.8,0.554545454545455,0.877777777777778,1,0.95,5,2,NA,6,NA,6,NA,5,NA,NA,NA,2,0.666666666666667,1,6,1,0,1,1,1
"Cambodian Basin","ThAyuth",1700,80.4,NA,NA,155000,4.8,0.554545454545455,0.888888888888889,1,0.95,5,2,NA,6,NA,6,NA,5,NA,NA,NA,2,0.666666666666667,1,6,1,0,1,1,1
"Cambodian Basin","ThRattn",1800,86.3,4639147.76639592,513120,61465.5223225653,4.75,0.554545454545455,0.866666666666667,1,1,5,2,NA,6,NA,6,NA,2,NA,NA,NA,1,0.666666666666667,1,6,1,0,1,1,1
"Central Java","IdMedng",800,74.5,314020.316626792,105944.47450492,1000,3.07909388085924,0.825,0.866666666666667,0.816666666666667,0.96,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,1.80299572289113,1,0,1,1,1
"Central Java","IdMedng",900,74.5,314020.316626792,105944.47450492,1000,3.32909388085924,0.825,0.866666666666667,0.816666666666667,0.96,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,1.80299572289113,1,0,1,1,1
"Central Java","IdKedir",1100,72.5,268285.290013297,62350.6696156947,NA,4,0.8375,0.866666666666667,0.816666666666667,0.94,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,3,1,0,1,1,1
"Central Java","IdKedir",1200,72.5,317506.910364975,62350.6696156947,NA,4,0.8375,0.866666666666667,0.816666666666667,0.94,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,3,1,0,1,1,1
"Central Java","IdMajap",1300,86.3,5e+06,5e+05,155083.862948913,4,0.89,0.95,0.816666666666667,0.95,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,1,1,3,1,0,1,1,1
"Central Java","IdMatrm",1600,76.5,3426845.1847733,104902.262260225,NA,3.47516073715289,0.977777777777778,0.955555555555556,0.816666666666667,0.933333333333333,4.5,2,NA,4,NA,4,NA,2,NA,NA,NA,3,1,1,2.37580368576444,1,1,1,1,1
