"NGA","Polity","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note"
"Latium","ItLatCA","Hierarchical Complexity Administrative levels","1","","","","simple","simple",""
"Latium","ItLatCA","Hierarchical Complexity Military levels","1","","","","simple","simple",""
"Latium","ItLatCA","Hierarchical Complexity Religious levels","1","","","","simple","simple",""
"Latium","ItLatCA","Hierarchical Complexity Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatCA","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItLatCA","Professions Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatCA","Professions Professional priesthood","0.1","","","","simple","simple",""
"Latium","ItLatCA","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatCA","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
"Latium","ItLatCA","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItLatCA","Bureaucracy characteristics Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatCA","Law Courts","0","","","","simple","simple",""
"Latium","ItLatCA","Law Formal legal code","0","","","","simple","simple",""
"Latium","ItLatCA","Law Judges","0","","","","simple","simple",""
"Latium","ItLatCA","Law Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned markets","0.1","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned Roads","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned Bridges","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned Canals","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized Buildings: polity owned Ports","0","","","","simple","simple",""
"Latium","ItLatCA","Other Couriers","0","","","","simple","simple",""
"Latium","ItLatCA","Other Postal stations","0","","","","simple","simple",""
"Latium","ItLatCA","Other General postal service","0","","","","simple","simple",""
"Latium","ItLatCA","Information Nonwritten records","0.9","","","","simple","simple",""
"Latium","ItLatCA","Information Written records","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Script","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Non-phonetic writing","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Lists tables and classifications","0","","","","simple","simple",""
"Latium","ItLatCA","Information Calendar","0","","","","simple","simple",""
"Latium","ItLatCA","Information Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information History","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","Information Fiction","0.1","","","","simple","simple",""
"Latium","ItLatCA","Other Articles","0.9","","","","simple","simple",""
"Latium","ItLatCA","Other Tokens","0","","","","simple","simple",""
"Latium","ItLatCA","Other Precious metals","0","","","","simple","simple",""
"Latium","ItLatCA","Other Foreign coins","0","","","","simple","simple",""
"Latium","ItLatCA","Other Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatCA","Other Paper currency","0","","","","simple","simple",""
"Latium","ItLatCA","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItLatBA","Social Scale Population of the largest settlement","20","50","-1800","-1200","complex","range","range"
"Latium","ItLatBA","Social Scale Population of the largest settlement","100","300","-1200","-900","complex","range","range"
"Latium","ItLatBA","Hierarchical Complexity Administrative levels","1","2","","","complex","range",""
"Latium","ItLatBA","Hierarchical Complexity Military levels","1","","","","simple","simple",""
"Latium","ItLatBA","Hierarchical Complexity Religious levels","1","","","","simple","simple",""
"Latium","ItLatBA","Hierarchical Complexity Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatBA","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItLatBA","Professions Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatBA","Professions Professional priesthood","0.1","","","","simple","simple",""
"Latium","ItLatBA","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatBA","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
