"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-3.23441560922931,-3.55423210787882,-4.34925387446216,-4.17564942516303,-4.57286549915354,-4.15501196260323,-3.86330765471104,-4.16722880574385,-3.96551754007027,-4.10765416651056,-3.9239671089613,-3.86344250813252,-4.34444422698976,-3.21533212534316,-4.36235038136036,-4.30364433730426,-4.4607555916388,-5.22803193809742,-3.27629657075299,-3.00512278559855
-3.9348552470042,-3.79981157322693,-3.18431973299118,-4.17770141411856,-3.70540670074045,-3.95820793791938,-4.0676209914345,-4.04135144645386,-3.93645446064608,-3.6585828031672,-3.41505703686865,-3.86033169849285,-3.83282650262782,-4.10061886193611,-3.68496002529858,-3.78491365851422,-4.12564373493933,-3.70169403531262,-4.09416833607537,-3.67230401972658
-3.73933283575503,-3.63917186749336,-3.4583927267293,-4.04440227151854,-3.48176911396326,-3.64661909245672,-3.61733177487483,-3.81825054300022,-3.69988844260106,-3.81470711043958,-3.60460826018827,-3.95298746035701,-3.54837896030085,-3.19483964323785,-3.91992328231897,-3.62259726705705,-4.08871401181133,-3.38679815516003,-3.40306996618435,-4.14583193479951
-3.49166399501051,-3.50835734412569,-3.34607714966089,-3.79003769231251,-3.53782471289598,-3.20177304475156,-3.38272091984722,-3.33742396009525,-3.83373991057374,-3.6457391630723,-3.69268199781995,-3.44594718097567,-4.18927244329035,-3.27050770966027,-3.47170065615453,-3.77841690914702,-3.78684429479909,-3.41358343481843,-3.86156407373445,-3.97607458475452
-3.19364095687873,-3.01747794708486,-3.22515585079176,-3.42959288021185,-3.62441795056258,-3.30658837622207,-3.09163924750388,-3.3461811043954,-3.35776138604636,-2.89900621996746,-3.27364878365556,-3.46865955611715,-3.29960263857958,-3.09282120710007,-3.22137281526167,-3.06844666587847,-3.22694590589281,-3.24661709335415,-3.22656272641316,-3.25541998015687
-3.85004242315325,-3.53390455572487,-3.88407681231757,-3.30325202233502,-3.72589268862352,-3.78467829229272,-4.22181865581001,-3.99895470845164,-3.93868713579812,-4.2974753350066,-3.43351934137403,-3.61978710072105,-3.64116195321731,-4.14903026906593,-3.90210231421551,-3.76276376550862,-3.46230255448964,-4.02235068591175,-4.37443973991133,-4.50172455946777
-2.45115269281009,-2.72862185367975,-2.22464675447773,-2.77634547116736,-2.29902278073917,-2.47315214986161,-2.43091631773088,-2.44930935801346,-2.50808701497316,-2.39581077198903,-2.71469690731599,-2.79972199069746,-2.98545150968059,-2.45282870680371,-2.37940781982898,-2.49455495841809,-2.64429646915985,-2.69466381164739,-2.57209724884376,-2.53061893879889
-2.43086813846684,-2.43502094429579,-2.38600094466094,-2.02447781419535,-2.48592224093754,-2.77730560019209,-2.45046473745789,-2.26986720515146,-1.93104714304627,-2.44666275252764,-2.39740801619878,-2.35199484390762,-2.59139477370303,-2.56046030870406,-2.42291672758777,-2.61512543092828,-2.40260753001738,-2.2383994313123,-2.58139908047298,-2.43062731401905
-5.74973839912674,-5.84866047556143,-5.83297085835008,-5.76765068072886,-5.77307280231305,-5.80230811414831,-5.69980674042124,-5.79975410694926,-5.50252116645827,-5.65324639273546,-5.60236393853982,-5.52164040613204,-5.72162217509485,-5.6806775102754,-5.62987553012044,-5.69751591194854,-5.6958040963658,-5.7452686394254,-5.67980443083996,-5.94818449634765
-5.53550670397189,-5.60894856515087,-5.77417874126348,-5.69963937019502,-5.86231275845134,-5.64612596838931,-5.63177349187482,-5.68466764197546,-5.44209446500894,-5.62227095805987,-5.56306751512526,-5.80417830069186,-5.57268934023283,-5.65624030866024,-5.76365396828399,-5.6818359549658,-5.65632191426564,-5.76028992676856,-5.8738298128591,-5.64986936326047
-5.6433557086038,-5.88028094060871,-5.75515354741103,-5.75504850991402,-5.86281451392514,-5.74775978780759,-5.86486037047154,-5.76355433890009,-5.6783566843829,-5.68028838824901,-6.03401026411148,-5.46502674234035,-5.70898291316785,-5.85200341797592,-5.2217273099642,-5.86942862874587,-5.59058465824136,-5.64523725340667,-5.7418332219242,-5.72363747558466
-5.59084139099779,-5.89670590744702,-5.86445664496043,-5.69558567638452,-5.70145976116743,-5.75176378601516,-5.65408325882228,-5.68186144458575,-5.68363459982468,-5.59405650501799,-5.57876233388657,-5.62131306985369,-5.86641766437151,-5.54163657545773,-5.88074729529821,-6.13021907753272,-5.75185739027959,-5.70701219590688,-5.73500476133322,-5.66278690987982
-5.42780562909923,-5.78438606545647,-5.61479106679801,-5.56134489120888,-5.71011155310284,-5.57357358484036,-5.76857458605697,-5.54406110519081,-5.62785997117616,-5.46362472445688,-5.86387624496273,-5.7188329865019,-5.88486503222832,-5.77286378413336,-5.67430065783512,-5.67182047682828,-5.58781734786123,-5.61986855840705,-5.51138573024085,-5.58917996563803
-4.79829612681406,-4.84668147966283,-4.83249078912773,-4.82129948307757,-4.79755774891023,-4.79815619608396,-4.80400203084388,-4.76091030989769,-4.75779754825751,-4.8512431639478,-4.79098130359885,-4.78995635531655,-4.82943605764165,-4.75644946577783,-4.81639072970831,-4.84918465145724,-4.83273252231506,-4.79312310412297,-4.81516979227593,-4.81617741332281
-4.29252593285985,-4.22424155653824,-4.1843859318542,-4.25607334014761,-4.26524432261557,-4.21671662115802,-4.19859587368742,-4.18181388837383,-4.18904696385146,-4.18973282268511,-4.23439416313936,-4.23441614627007,-4.27001538210232,-4.21841785456932,-4.20889973906827,-4.21264887403504,-4.25510941123702,-4.23516475159684,-4.20878972170058,-4.17931824082366
-4.12105877573416,-4.05369321959708,-4.01334388756879,-4.08452579916126,-4.09584469352467,-4.04523655436502,-4.02710280989779,-4.01139766894043,-4.01949574079007,-4.0184374961567,-4.06394875974931,-4.06467292193633,-4.10134377202429,-4.04808642319207,-4.03685976959286,-4.04409002230281,-4.08386060252905,-4.06522052364481,-4.03941785085886,-4.00824914854762
-2.69877678248054,-2.64851335520364,-2.66953834614559,-2.70092024648048,-2.71076511040617,-2.67859490473445,-2.67340970941994,-2.70968556000115,-2.64629986723534,-2.64233936459791,-2.66334694697966,-2.69848679224559,-2.72348313372405,-2.64842754573035,-2.70503618986127,-2.71886963788693,-2.69976277954481,-2.66530028663956,-2.68385703087462,-2.69620752500023
-2.65054722276702,-2.7067358296271,-2.69281100388143,-2.70025908201147,-2.67407288342531,-2.65375832057114,-2.75213245149037,-2.63883732676121,-2.65094512530162,-2.68084942390094,-2.6882676376061,-2.65965766325612,-2.70950910313447,-2.68829576853703,-2.76106085322651,-2.6953076105751,-2.68681842073297,-2.74055634212833,-2.70540445800311,-2.66389820357652
-3.16979004063067,-3.08087678809681,-3.08819151279257,-3.13480209755758,-3.09708863537155,-3.10847391807713,-3.12633236323872,-3.05549461589681,-3.07159152713519,-3.11815354433608,-3.13573042012595,-3.19943182548392,-3.07399150059431,-3.12159126579421,-3.10156769215965,-3.03683582253217,-3.11566987927096,-3.10979420870724,-3.10811053884417,-3.07246693846452
