"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","levels","government","infrastr","writing","texts","money","irep","FreqLR","ConformityLR","FreqWR","ConformityWR","FreqFR","ConformityFR","FreqER","ConformityER","FreqDR","ConformityDR","MHG","BSP","WrittenRecords","ReligiousHier","GeneralMoralisticPunishment","MoralisingHighGods","MoralisingGods","DoctrinalMode","Writing","Mean","Lower","Upper"
"Big Island Hawaii","Hawaii1",1000,76.5,5.14232050916975,6.39331218831922,2.41495441967153,0.814788007741513,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.215214890943124,-0.115371518962285,0.545801300848533
"Big Island Hawaii","Hawaii1",1100,76.5,5.14232050916975,6.39331218831922,2.41495441967153,0.814788007741513,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.215214890943124,-0.115371518962285,0.545801300848533
"Big Island Hawaii","Hawaii2",1200,86.3,3.73682715328844,3.19378848192506,3.0422671574329,1.47200287053618,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.222122135856389,-0.0624135294606409,0.506657801173419
"Big Island Hawaii","Hawaii2",1300,86.3,4.02458341676025,3.19378848192506,3.71996331868531,1.15102057377349,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.232386179165025,-0.0386603277807675,0.503432686110818
"Big Island Hawaii","Hawaii2",1400,86.3,4.27553023025504,3.19378848192506,3.33404866661814,2.07709078604166,0.0909090909090909,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.240631694053024,-0.0290447752834959,0.510308163389543
"Big Island Hawaii","Hawaii2",1500,86.3,4.34518123539864,3.19378848192506,4.69619133588977,1.14002934852826,0.172727272727273,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.27091418390585,0.0145293606698417,0.527299007141859
"Big Island Hawaii","Hawaii2",1600,80.4,3.79269312978849,3.19378848192506,2.91583646209306,1.91857712425072,0.09,0.1,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.219494932674934,-0.0691851778659015,0.508175043215769
"Big Island Hawaii","Hawaii3",1700,94.1,5.0702285088161,3.96975586974087,4.18594083181902,2.59539975881503,0.227272727272727,0.336363636363636,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0,0.317672017694371,0.133935889991455,0.501408145397288
"Big Island Hawaii","USKameh",1800,92.2,5.12762421049456,4.16542294229884,4.04834344767727,2.85571442069744,0.35,0.172727272727273,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,2,0.9,0,2,1,0,1,1,0,0.33080143755814,0.145548322886875,0.516054552229405
"Cahokia","USMisEW",-600,88.2,1.55968910657915,1.42778039024573,1.51875747154655,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0825397516500714,-0.346201186740346,0.511280690040489
