"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
0.77956,0.06083,0.04141,0.03645,0.0269,0.02195,0.01677,0.0095,0.00663
0.77419,0.06011,0.04302,0.03799,0.02753,0.02284,0.01669,0.01045,0.00718
0.77669,0.05954,0.04054,0.0381,0.02753,0.02287,0.01827,0.00933,0.00713
0.77151,0.0624,0.04344,0.03619,0.02798,0.02192,0.01882,0.01059,0.00715
0.7798,0.05913,0.04268,0.03626,0.02647,0.02153,0.01696,0.00989,0.00726
0.77641,0.05922,0.04127,0.03714,0.02923,0.02203,0.01814,0.00932,0.00725
0.77542,0.06266,0.04189,0.03636,0.02669,0.02341,0.01701,0.00913,0.00745
0.77414,0.0628,0.04108,0.03689,0.02773,0.02243,0.01814,0.00976,0.00704
0.7803,0.05854,0.04191,0.03802,0.02643,0.02195,0.01643,0.0091,0.00731
0.77926,0.0607,0.04132,0.03722,0.02628,0.02133,0.01668,0.00973,0.00749
0.7756,0.06121,0.04214,0.03829,0.02799,0.02137,0.01688,0.00933,0.00718
0.77884,0.06014,0.04175,0.03586,0.02809,0.0221,0.01747,0.00895,0.00681
0.77604,0.06249,0.04123,0.0357,0.02806,0.02282,0.01723,0.00941,0.00702
0.77506,0.06057,0.04433,0.03679,0.02713,0.02179,0.01692,0.00984,0.00756
0.77483,0.06175,0.04223,0.03756,0.02734,0.02254,0.01627,0.01067,0.00681
0.77978,0.05955,0.04307,0.03772,0.02631,0.02098,0.01648,0.00865,0.00747
0.77634,0.05978,0.04233,0.03792,0.02779,0.02155,0.01742,0.00954,0.00732
0.7726,0.06064,0.04212,0.03734,0.02819,0.02356,0.01778,0.01013,0.00764
0.77583,0.0583,0.04118,0.03859,0.0287,0.0231,0.01788,0.0095,0.00692
0.77185,0.06243,0.04335,0.03813,0.02753,0.02221,0.01759,0.0098,0.0071
