"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"PolPop",0.352658488298723,-0.325361355526815,0.116511428066573,-0.0423824016500401,-0.127977760830606,0.0630703998309154,0.0436051050825134,-0.764202770654213,-0.384886133361538
"PolTerr",0.319200397693034,-0.522867771335545,0.353845612885944,0.303874920730807,-0.151966223505848,-0.336491671867003,0.355751493569789,0.332253732497188,0.184124056943944
"CapPop",0.335398789378257,-0.397424543403891,-0.135614003115799,-0.097876807563528,-0.13820382276567,0.536844845099053,-0.547021928457663,0.270086171199424,0.148688071682676
"levels",0.330292296926813,-0.162910396352806,-0.264459412609518,-0.202375569210454,0.849678159977538,-0.156123887280373,0.0757128961181036,0.0352150074834016,0.0131288349429023
"government",0.332170663881881,0.161220545195065,-0.487749362737021,0.0469549096166952,-0.323833157863192,-0.632171389581863,-0.343988683445403,-0.0193709160405393,0.0188243143708049
"infrastr",0.336879196369378,0.208677653475144,-0.42989796358476,-0.14603654487064,-0.258976314327558,0.337200290067593,0.646402940063803,0.0192750694112993,0.194540628746944
"writing",0.331865618689066,0.402166405106994,0.260297695935439,0.476123620054072,0.185108777100407,0.12974679578574,-0.162837451945302,-0.295477291984741,0.518417250332007
"texts",0.348154556132165,0.344640195221021,0.106603899998394,0.325320370076525,0.0645078847774503,0.148610165766544,-0.00143964975477323,0.36394763229101,-0.695778417307959
"money",0.311426429039362,0.293615579077782,0.520631778384238,-0.706590081570743,-0.0954542581758018,-0.133994439164458,-0.0623775053395813,0.104419711371769,0.0679413317111398
"PolPop",0.349917645140425,-0.363342462989077,0.0817453836750221,-0.00314192099908774,0.142167313954556,-0.0488225133024542,0.00830599393632207,0.846119740597501,-0.0162766354752653
"PolTerr",0.320239982118108,-0.498569084917198,0.421548006985565,0.23712749214902,0.117773453482802,0.366411906479796,-0.348151753763936,-0.381579518593916,0.00148575796893679
"CapPop",0.335810254603091,-0.36903416565167,-0.171122448478377,-0.158009575397005,0.274862096041856,-0.539114443104287,0.445739551305744,-0.362699999379668,0.0191506512260491
"levels",0.32955258762953,-0.197736527804785,-0.272087339868664,-0.14473723809511,-0.863331660804149,-0.0137222056680259,-0.0935257241201506,-0.0498117546179627,0.0235974893710275
"government",0.333570487048717,0.149372094059711,-0.450578633034793,0.236074096193674,0.139686969238361,0.628142035394515,0.439115998344073,-0.0205771509047878,0.0185870680716747
"infrastr",0.334568037825098,0.248326166217255,-0.476142836965221,-0.00639537628386556,0.303860272862708,-0.178988355885675,-0.672389559514036,-0.0376942257678666,0.147475319426771
"writing",0.333300514157156,0.393601420925197,0.389694503427346,0.346143011571004,-0.14177354071282,-0.217713521463822,0.158259979240298,0.0162175520133854,0.607868204424641
"texts",0.348681334503995,0.354485213650409,0.195469136961724,0.251651097908721,-0.0702239024919955,-0.196152425817935,0.0145802200593765,-0.0245752939063753,-0.779102947732507
"money",0.312662138464981,0.282073429702779,0.304133953904263,-0.811744816750577,0.0902911511924331,0.245054678669826,0.0331839502481199,-0.0416500570615778,0.0144799398623898
"PolPop",0.352713494989447,-0.340354378779738,0.101525377491796,-0.0342005479501268,0.170153455428263,-0.00197270053305774,0.0395574308425624,-0.733767440180018,-0.423484912361794
"PolTerr",0.322626837599201,-0.467947363256057,0.3606051523662,0.33703628790031,0.13179162789293,-0.462117892173034,0.222680099762102,0.351866881699534,0.17026140164947
"CapPop",0.331288186211106,-0.420654000053601,-0.101637172697237,-0.18743227805516,0.227084498587697,0.658832415957108,-0.262816227739547,0.269943448981869,0.200668929231333
